Course Name,County,Province,Played ?,lat,lon
Druids Glen Golf Club,Wicklow,Leinster,,53.0883,-6.0717
Dunmore Demesne Golf Club,Waterford,Munster,,52.2609997,-7.1119081
Donabate Golf Club,Dublin,Leinster,,53.4812938,-6.1243003
Dublin City Golf Club,Dublin,Leinster,,53.2504172,-6.3761494
Dunmore East Golf Club,Waterford,Munster,,52.1589605,-6.9860331
Donaghadee Golf Club,Down,Ulster,,54.6512584,-5.5492597
Dublin Mountain Golf Club,Dublin,Leinster,,53.2362662,-6.4396469
Dunmurry Golf Club,Down,Ulster,,53.5980864,-7.3488953
East Clare Golf Club,Clare,Munster,,52.8987269,-8.6043287
Elm Park Golf Club,Dublin,Leinster,,53.3665625,-6.2002931
Enniscrone Golf Club,Sligo,Connacht,,54.2192,-9.0911
East Cork Golf Club,Cork,Munster,,51.8063969,-8.1795425
Elmgreen Golf Club,Dublin,Leinster,,53.3847021,-6.3493957
Enniskillen Golf Club,Fermanagh,Ulster,,54.3377857,-7.6169678
Edenderry Golf Club,Offaly,Leinster,,53.3433656,-7.0488576
Ennis Golf Club,Clare,Munster,,52.840661,-9.0015681
Esker Hills Golf Club,Offaly,Leinster,,53.2960188,-7.5591297
Edenmore Golf Club,Down,Ulster,,54.1758058,-6.2477592
Enniscorthy Golf Club,Wexford,Leinster,,52.5046084,-6.5662858
Edmondstown Golf Club,Dublin,Leinster,,53.2729368,-6.2898569
Enniscrone Golf Club,Sligo,Connacht,,54.2192,-9.0911
Faithlegg Golf Club,Waterford,Munster,,52.2579908,-7.0240213
Farnham Estate,Cavan,Ulster,,54.0021777,-7.4003224
Forest Little Golf Club,Dublin,Leinster,,53.3008157,-6.1762533
Foyle International Golf Centre - Championship,Derry,Ulster,,53.4123182,-7.2926162
Fermoy Golf Club,Cork,Munster,,52.1119766,-8.2960926
Fortwilliam Golf Club,Antrim,Ulster,,54.6441265,-5.9292439
Foyle International Golf Centre - Woodlands,Derry,Ulster,,53.4123182,-7.2926162
Fernhill Golf Club,Carlow,Leinster,,52.8408344,-6.9261131
Fota Island Golf Club,Cork,Munster,,51.8975435,-8.2873303
Frankfield Golf Club,Cork,Munster,,51.8710768,-8.4664722
Fintona Golf Club,Tyrone,Ulster,,54.4924575,-7.3194945
Foxrock Golf Club,Dublin,Leinster,,53.266813,-6.1838379
Galgorm Castle Golf Club,Antrim,Ulster,,54.8518293,-6.3108502
Glengarriff Golf Club,Cork,Munster,,51.7506573,-9.5223891
Grange Golf Club,Dublin,Leinster,,53.2744769,-6.2801313
Galway Bay Golf & Country Club,Galway,Connacht,,53.2849066,-9.0417944
Glenlo Abbey Golf Club,Galway,Connacht,,53.3006352,-9.0944695
Greenacres Golf Club,Antrim,Ulster,,54.6795562,-5.9485753
Galway Golf Club,Galway,Connacht,,53.2841506,-9.0378363
Glenmalure Golf Club,Wicklow,Leinster,,52.9346148,-6.2920847
Greencastle Golf Club,Donegal,Ulster,,55.2105083,-6.9580265
Garron Tower Golf Club,Antrim,Ulster,,54.715139,-6.2192038
Gold Coast Golf Club,Waterford,Munster,,52.0858615,-7.5685235
Greenisland Golf Club,Antrim,Ulster,,54.7061627,-5.8743453
Gilnahirk Golf Club,Down,Ulster,,54.6050093,-5.8314695
Gormanstown College Golf Club,Meath,Leinster,,53.6497514,-6.5884245
Greenore Golf Club,Louth,Leinster,,54.0326495,-6.1334035
Glasson Golf Club,Westmeath,Leinster,,53.4706484,-7.8637486
Gort Golf Club,Galway,Connacht,,53.0671685,-8.8141817
Greystones Golf Club,Wicklow,Leinster,,53.1385728,-6.0725923
Glebe Golf Club,Antrim,Ulster,,54.8531462,-5.8323045
Gowran Park Golf Club,Kilkenny,Leinster,,52.615316,-7.0715669
Gweedore Golf Club,Donegal,Ulster,,55.0835429,-8.3155657
Glen of the Downs Golf Club,Wicklow,Leinster,,53.1359714,-6.1164306
Gracehill Golf Club,Antrim,Ulster,,55.1411065,-6.3928713
Glencullen Golf Club,Dublin,Leinster,,53.2628162,-6.2242529
Grange Castle Golf Club,Dublin,Leinster,,53.3192704,-6.4343834
Headfort Golf Club - Headfort New Course,Meath,Leinster,,53.6497514,-6.5884245
Hazel Grove Golf Club,Offaly,Leinster,,53.1361722,-7.8103408
Highfield Golf Club,Kildare,Leinster,,53.3980277,-6.6726772
Hollystown - Yellow Golf Club,Dublin,Leinster,,53.3493795,-6.2605593
Headfort Golf Club - Headfort Old Course,Meath,Leinster,,53.6497514,-6.5884245
Hilton Templepatrick Golf Club,Antrim,Ulster,,54.7069727,-6.1033698
Hollywood Lakes Golf Club,Dublin,Leinster,,53.5502692,-6.2643076
Helen's Bay Golf Club,Down,Ulster,,54.6705633,-5.7372487
Hollystown - Blue Golf Club,Dublin,Leinster,,53.3493795,-6.2605593
Holywood Golf Club,Down,Ulster,,54.6404494,-5.8361723
Hermitage Golf Club,Dublin,Leinster,,53.3635144,-6.4131431
Hollystown - Red Golf Club,Dublin,Leinster,,53.3493795,-6.2605593
Howth Golf Club,Dublin,Leinster,,53.3733421,-6.0787314
Kanturk Golf Club,Cork,Munster,,52.1565119,-8.9238231
Killarney - Mahony's Point Course,Kerry,Munster,,52.1453345,-9.5174011
Kilrush Golf Club,Clare,Munster,,52.6510576,-9.4656322
Kenmare Golf Club,Kerry,Munster,,51.8799468,-9.5757261
Killeen Golf Club,Kildare,Leinster,,53.2619322,-6.6200029
Killeen Castle Golf Club,Meath,Leinster,,53.5359837,-6.5930376
Kilternan Golf Club,Dublin,Leinster,,53.2355191,-6.1933991
Kilcock Golf Club,Meath,Leinster,,53.43523,-6.712712
Killerig Castle Golf Club,Dublin,Leinster,,53.3493795,-6.2605593
Kinsale - Farrangalway Course,Cork,Munster,,51.8985136,-8.4726423
Kilkea Castle Golf Club,Kildare,Leinster,,52.9436941,-6.886288
Killin Park Golf Club,Galway,Connacht,,53.2744122,-9.0490601
Kinsale - Ringenane Course,Cork,Munster,,51.8985136,-8.4726423
Kilkee Golf Club,Clare,Munster,,52.6806,-9.6483
Killiney Golf Club,Dublin,Leinster,,53.2642125,-6.1282083
Kirkistown Castle Golf Club,Down,Ulster,,54.4369479,-5.4732875
Kilkeel Golf Club,Down,Ulster,,54.0716741,-6.0548291
Killorglin Golf Club,Kerry,Munster,,52.1061973,-9.7867881
Knightsbrook Golf Club,Meath,Leinster,,53.5440467,-6.7690998
Kilkenny Golf Club,Kilkenny,Leinster,,52.672095,-7.2439019
Killymoon Golf Club,Tyrone,Ulster,,54.6342535,-6.7238774
Knock Golf Club,Down,Ulster,,54.5972318,-5.8209106
Killarney - Killeen Course,Kerry,Munster,,52.1453345,-9.5174011
Kilmashogue Golf Club,Dublin,Leinster,,53.2625671,-6.2712761
Knockanally Golf Club,Tipperary,Munster,,52.4734839,-8.1614446
Killarney - Lackabane Course,Kerry,Munster,,52.1453345,-9.5174011
Kilrea Golf Club,Derry,Ulster,,54.950167,-6.5564648
Lahinch - Castle Course,Clare,Munster,,52.9333,-9.3486
Leopardstown Golf Club,Dublin,Leinster,,53.2747217,-6.1927577
Listowel Golf Club,Kerry,Munster,,52.4472298,-9.4846811
Lahinch - Old Course,Clare,Munster,,52.9333,-9.3486
Letterkenny Golf Club,Donegal,Ulster,,54.9641921,-7.6825234
Loughgall Country Park & golf course,Armagh,Ulster,,54.2358295,-7.1194156
Lough Erne,Fermanagh,Ulster,,54.200697,-7.502396
Lambeg Golf Club,Antrim,Ulster,,54.5296586,-6.0296261
Limerick Golf Club,Limerick,Munster,,52.6163384,-8.6302557
Loughrea Golf Club,Galway,Connacht,,53.2170991,-8.5582973
Larne Golf Club,Antrim,Ulster,,54.8551475,-5.7790269
Lisburn Golf Club,Antrim,Ulster,,54.4967698,-6.0557115
Lucan Golf Club,Dublin,Leinster,,53.3508622,-6.4802907
Laytown & Bettystown Golf Club,Meath,Leinster,,53.7100898,-6.2477313
Lismore Golf Club,Waterford,Munster,,52.1464647,-7.9444819
Lurgan Golf Club,Armagh,Ulster,,54.460824,-6.3292491
Lee Valley Golf & Country Club,Cork,Munster,,51.8842113,-8.7027468
Lisselan Golf Club,Cork,Munster,,51.6554765,-8.8485749
Luttrellstown Castle Golf Club,Dublin,Leinster,,53.3734832,-6.4308463
Macroom Golf Club,Cork,Munster,,51.9049705,-8.9599195
Marlay Park Golf Club,Dublin,Leinster,,53.2732931,-6.2704765
Mount Temple Golf Club,Westmeath,Leinster,,53.4285638,-7.7756601
Mahee Island Golf Club,Down,Ulster,,54.5015398,-5.6300041
Massereene Golf Club,Antrim,Ulster,,54.7134504,-6.2321134
Mount Wolseley Golf Hotel & Country Club,Carlow,Leinster,,52.8408344,-6.9261131
Mahon Golf Club,Cork,Munster,,51.8832658,-8.4149341
Milltown Golf Club,Dublin,Leinster,,53.3003882,-6.2574151
Millicent Golf Club,Kildare,Leinster,,53.2773502,-6.6845014
Mountain View Golf Club,Wicklow,Leinster,,52.9724773,-6.0430466
Malahide Golf Club,Dublin,Leinster,,53.4271396,-6.1451293
Mitchelstown Golf Club,Cork,Munster,,52.2595146,-8.2378442
Mountrath Golf Club,Laois,Leinster,,52.9780686,-7.4840008
Mallow Golf Club,Cork,Munster,,52.1282509,-8.6199265
Moate Golf Club,Westmeath,Leinster,,53.3962015,-7.7240549
Mourne Golf Club,Down,Ulster,,54.1086214,-6.0137383
Mallusk Golf Club,Antrim,Ulster,,54.720653,-6.2029901
Monkstown Golf Club,Dublin,Leinster,,53.2936454,-6.1539023
Moyola Park Golf Club,Derry,Ulster,,54.7839033,-6.5701102
Malone Edenderry Course,Down,Ulster,,53.5980864,-7.3488953
Moor Park Golf Club,Cork,Munster,,51.8985136,-8.4726423
Moyvalley Golf Club,Kildare,Leinster,,53.4298379,-6.9199634
Malone Golf Club,Down,Ulster,,54.5383007,-5.9715712
Mount Bellew Golf Club,Galway,Connacht,,53.4707876,-8.499584
Mullingar Golf Club,Westmeath,Leinster,,53.4810942,-7.3590878
Mannan Castle Golf Club,Monaghan,Ulster,,54.0061939,-6.6980327
Mount Juliet Golf & Country Club,Kilkenny,Leinster,,52.529809,-7.2144714
Mulranny Golf Club,Mayo,Connacht,,53.9010539,-9.7612484
Manor Golf Club,Derry,Ulster,,55.0023026,-7.2693829
Mount Ober Golf Club,Tipperary,Munster,,52.4734839,-8.1614446
Muskerry Golf Club,Cork,Munster,,51.8691122,-8.3410198
Naas Golf Club,Kildare,Leinster,,53.2484044,-6.6359739
New Ross Golf Club,Wexford,Leinster,,52.3955671,-6.9446066
Newry Golf Club,Down,Ulster,,54.1511148,-6.3500308
Narin & Portnoo Golf Club,Donegal,Ulster,,54.6537924,-8.1102616
Newbridge Golf Club,Kildare,Leinster,,53.2028882,-6.7847087
Newtownstewart Golf Club,Tyrone,Ulster,,54.7039796,-7.4215107
Navan Golf Club,Meath,Leinster,,53.6530941,-6.6840434
Newcastle West Golf Club,Limerick,Munster,,52.4488928,-9.0529331
North-West Golf Club,Donegal,Ulster,,55.1090568,-7.4715411
Nenagh Golf Club,Tipperary,Munster,,52.9042854,-8.1251287
Newlands Golf Club,Dublin,Leinster,,53.3088106,-6.3862696
Nuremore Hotel Golf & Country Club,Monaghan,Ulster,,53.963091,-6.6950687
Old Conna Golf Club,Wicklow,Leinster,,53.20088,-6.1272119
Omagh Golf Club,Tyrone,Ulster,,54.5927001,-7.2958858
Otway Golf Club,Donegal,Ulster,,54.6537924,-8.1102616
Old Head of Kinsale Golf Club,Cork,Munster,,51.6062,-8.5284
Ormeau Golf Club,Down,Ulster,,54.5828883,-5.9136086
Oughterard Golf Club,Galway,Connacht,,53.420913,-9.2889034
Palmerstown House Golf Club,Kildare,Leinster,,53.2468719,-6.6214254
Portmarnock Championship Course,Dublin,Leinster,,53.4244,-6.1362
Portstewart - Riverside Golf Club,Derry,Ulster,,55.1661202,-6.7230061
Parknasilla Golf Club,Kerry,Munster,,51.8166559,-9.8647428
Portmarnock Hotel & Golf Links,Dublin,Leinster,,53.4244,-6.1362
Portstewart - Strand Golf Club,Derry,Ulster,,55.1695673,-6.7453995
Portadown Golf Club,Armagh,Ulster,,54.4042605,-6.4142053
Portsalon Golf Club,Donegal,Ulster,,55.1998813,-7.626505
Portumna Golf Club,Galway,Connacht,,53.0868537,-8.2524791
Portarlington Golf Club,Laois,Leinster,,53.162222,-7.191111
Portstewart - Old Course,Derry,Ulster,,55.1901072,-6.7024262
Powerscourt Golf Club,Wicklow,Leinster,,53.1874765,-6.1922815
R and R Golf Course,Waterford,Munster,,52.2609997,-7.1119081
Rockmount Golf Club,Down,Ulster,,54.5887383,-5.8050482
Roundwood Golf Club,Wicklow,Leinster,,53.0840101,-6.1635632
Raffeen Creek Golf Club,Cork,Munster,,51.8353816,-8.3495033
Rockwell Golf Club,Tipperary,Munster,,52.4563025,-7.8966485
Royal Belfast Golf Club,Down,Ulster,,54.6601537,-5.7847654
Rathbane Golf Club,Limerick,Munster,,52.6473721,-8.6202165
Roe Park Resort,Derry,Ulster,,55.0373761,-6.9541674
Royal County Down - Annesley Links,Down,Ulster,,54.2189,-5.8893
Rathdowney Golf Club,Laois,Leinster,,52.8480485,-7.5680868
Roganstown Hotel & CC,Meath,Leinster,,53.6497514,-6.5884245
Royal County Down - Championship Course,Down,Ulster,,54.2189,-5.8893
Rathfarnham Golf Club,Dublin,Leinster,,53.2673494,-6.3033171
Rosapenna Golf Club,Donegal,Ulster,,55.1811,-7.8286
Royal Dublin Golf Club,Dublin,Leinster,,53.3636961,-6.1624215
Rathmore Golf Club,Kerry,Munster,,52.0852498,-9.2179688
Roscommon Golf Club,Roscommon,Connacht,,53.6150244,-8.1730849
Royal Portrush - Dunluce Links,Antrim,Ulster,,55.2045,-6.6575
Rathsallagh Golf Club,Wicklow,Leinster,,53.0398183,-6.7146516
Roscrea Golf Club,Tipperary,Munster,,52.9559024,-7.7502905
Royal Portrush - Valley Links,Antrim,Ulster,,55.2045,-6.6575
Redcastle Hotel & Golf Club,Donegal,Ulster,,55.1586885,-7.1226689
Ross Golf Club,Wexford,Leinster,,52.3441046,-6.8227211
Royal Tara Golf Club,Meath,Leinster,,53.5935699,-6.6449842
Ring of Kerry Golf Club,Kerry,Munster,,51.8758088,-9.6713236
Rosslare Golf Club,Wexford,Leinster,,52.2933827,-6.3926439
Rush Golf Club,Dublin,Leinster,,53.5129508,-6.106245
Ringdufferin Golf Club,Down,Ulster,,54.434284,-5.6404624
Rossmore Golf Club,Monaghan,Ulster,,54.2155916,-6.9920863
Scrabo Golf Club,Down,Ulster,,54.5809599,-5.7201919
Slievenamon Golf Club,Tipperary,Munster,,52.4260682,-7.7068981
Stepaside Golf Club,Dublin,Leinster,,53.2531104,-6.2143744
Seafield Golf Club,Wexford,Leinster,,52.6736373,-6.2142904
South County Golf Club,Dublin,Leinster,,53.3383826,-6.2471783
Strabane Golf Club,Tyrone,Ulster,,54.8116024,-7.4619329
Seapoint Golf Links,Louth,Leinster,,53.7512921,-6.2540277
South Meath Golf Club,Meath,Leinster,,53.6542189,-6.6897513
Strandhill Golf Club,Sligo,Connacht,,54.2656246,-8.6067085
Shandon Park Golf Club,Down,Ulster,,54.1943185,-6.335627
Spa Golf Club,Down,Ulster,,54.3922668,-5.9106914
Strokestown Golf Club,Roscommon,Connacht,,53.7678275,-8.0754959
Shannon Golf Club,Clare,Munster,,52.6920689,-8.9336705
Spanish Point Golf Club,Clare,Munster,,52.8407784,-9.4286762
